CLASS,0,1,2,3,4,5,6,7,8,9
O,60000,55000,50000,44900,42900,41400,39500,37100,35100,33300
B,31400,26000,20600,17000,16400,15700,14500,14000,12300,10700
A,9700,9300,8800,8600,8250,8100,7910,7760,7590,7400
F,7220,7020,6820,6750,6670,6550,6350,6280,6180,6050
G,5930,5860,5770,5720,5680,5660,5600,5550,5480,5380
K,5270,5170,5100,4830,4600,4440,4300,4100,3990,3930
M,3850,3660,3560,3430,3210,3060,2810,2680,2570,2380
